size
"2",,"","","","","arm-none-eabi-gcc (GCC) 5.3.0"
"","-Os -std=gnu89 -mthumb -mcpu=arm966e-s -mno-thumb-interwork"
linux-2.4.23-pre3-testplatform,kernel/fork,2545
linux-2.4.23-pre3-testplatform,kernel/acct,6
linux-2.4.23-pre3-testplatform,kernel/itimer,476
linux-2.4.23-pre3-testplatform,kernel/timer,2093
linux-2.4.23-pre3-testplatform,kernel/context,543
linux-2.4.23-pre3-testplatform,kernel/exit,1791
linux-2.4.23-pre3-testplatform,kernel/dma,12
linux-2.4.23-pre3-testplatform,kernel/module,747
linux-2.4.23-pre3-testplatform,kernel/ptrace,864
linux-2.4.23-pre3-testplatform,kernel/capability,64
linux-2.4.23-pre3-testplatform,kernel/printk,1552
linux-2.4.23-pre3-testplatform,kernel/kmod,628
linux-2.4.23-pre3-testplatform,kernel/exec_domain,591
linux-2.4.23-pre3-testplatform,kernel/sched,3241
linux-2.4.23-pre3-testplatform,kernel/time,1140
linux-2.4.23-pre3-testplatform,kernel/info,192
linux-2.4.23-pre3-testplatform,kernel/user,172
linux-2.4.23-pre3-testplatform,kernel/panic,518
linux-2.4.23-pre3-testplatform,kernel/sysctl,72
linux-2.4.23-pre3-testplatform,ipc/sem,3427
linux-2.4.23-pre3-testplatform,ipc/util,739
linux-2.4.23-pre3-testplatform,ipc/shm,2311
linux-2.4.23-pre3-testplatform,ipc/msg,1906
lwip-0.5.3.preproc,proj/unixsim/simhost,338
lwip-0.5.3.preproc,proj/unixsim/simnode,322
lwip-0.5.3.preproc,proj/unixsim/apps/fs,39809
lwip-0.5.3.preproc,proj/unixsim/apps/udpecho,128
lwip-0.5.3.preproc,proj/unixsim/apps/shell,8029
lwip-0.5.3.preproc,proj/unixsim/apps/httpd,567
lwip-0.5.3.preproc,proj/unixsim/apps/tcpecho,112
lwip-0.5.3.preproc,proj/unixsim/simrouter,466
lwip-0.5.3.preproc,src/netif/tcpdump,1335
lwip-0.5.3.preproc,src/netif/loopif,80
lwip-0.5.3.preproc,src/netif/arp,1136
lwip-0.5.3.preproc,src/core/tcp_output,2148
lwip-0.5.3.preproc,src/core/sys,258
lwip-0.5.3.preproc,src/core/tcp,2189
lwip-0.5.3.preproc,src/core/pbuf,1116
lwip-0.5.3.preproc,src/core/inet,336
lwip-0.5.3.preproc,src/core/stats,20
lwip-0.5.3.preproc,src/core/udp,900
lwip-0.5.3.preproc,src/core/mem,824
lwip-0.5.3.preproc,src/core/memp,616
lwip-0.5.3.preproc,src/core/tcp_input,3908
lwip-0.5.3.preproc,src/core/netif,400
lwip-0.5.3.preproc,src/core/ipv4/ip_addr,4
lwip-0.5.3.preproc,src/core/ipv4/icmp,628
lwip-0.5.3.preproc,src/core/ipv4/ip,1240
lwip-0.5.3.preproc,src/api/err,0
lwip-0.5.3.preproc,src/api/api_msg,1260
lwip-0.5.3.preproc,src/api/api_lib,1498
lwip-0.5.3.preproc,src/api/tcpip,248
lwip-0.5.3.preproc,src/api/sockets,832
mpeg2dec-0.3.1,libvo/video_out_sdl,633
mpeg2dec-0.3.1,libvo/video_out_pgm,401
mpeg2dec-0.3.1,libvo/video_out_dx,0
mpeg2dec-0.3.1,libvo/video_out_null,184
mpeg2dec-0.3.1,libvo/video_out,146
mpeg2dec-0.3.1,libvo/video_out_x11,0
mpeg2dec-0.3.1,libvo/yuv2rgb,3296
mpeg2dec-0.3.1,libvo/yuv2rgb_mmx,0
mpeg2dec-0.3.1,libvo/yuv2rgb_mlib,0
mpeg2dec-0.3.1,src/getopt,2324
mpeg2dec-0.3.1,src/gettimeofday,0
mpeg2dec-0.3.1,src/extract_mpeg2,2632
mpeg2dec-0.3.1,src/mpeg2dec,3622
mpeg2dec-0.3.1,libmpeg2/idct_alpha,0
mpeg2dec-0.3.1,libmpeg2/cpu_accel,4
mpeg2dec-0.3.1,libmpeg2/motion_comp,3424
mpeg2dec-0.3.1,libmpeg2/motion_comp_alpha,0
mpeg2dec-0.3.1,libmpeg2/cpu_state,2
mpeg2dec-0.3.1,libmpeg2/idct_mmx,0
mpeg2dec-0.3.1,libmpeg2/decode,1888
mpeg2dec-0.3.1,libmpeg2/slice,14484
mpeg2dec-0.3.1,libmpeg2/idct_mlib,0
mpeg2dec-0.3.1,libmpeg2/idct_altivec,0
mpeg2dec-0.3.1,libmpeg2/motion_comp_mlib,0
mpeg2dec-0.3.1,libmpeg2/idct,1356
mpeg2dec-0.3.1,libmpeg2/header,3444
mpeg2dec-0.3.1,libmpeg2/motion_comp_altivec,0
mpeg2dec-0.3.1,libmpeg2/motion_comp_mmx,0
mpeg2dec-0.3.1,libmpeg2/alloc,88
mpgcut-1.1,mpgcut,8731
OpenTCP-1.0.4,bootp/bootp,1016
OpenTCP-1.0.4,system,872
OpenTCP-1.0.4,tcp,4214
OpenTCP-1.0.4,smtp/smtp_client,1508
OpenTCP-1.0.4,smtp/smtpc_callbacks,22
OpenTCP-1.0.4,dns/dns,1064
OpenTCP-1.0.4,icmp,280
OpenTCP-1.0.4,timers,180
OpenTCP-1.0.4,ethernet,1484
OpenTCP-1.0.4,pop3/pop3_client,2567
